CategoryName,CategoryId
Salvage Yard,701091
School & Office Supply Stores,700776
Sports & Outdoors,700777
Bicycle Shops,700778
Diving Equipment & Supplies,701257
Exercise Equipment Store,701258
Golf Equipment & Supply Stores,700779
Golf Cart Dealer,701092
Gun Shops,700780
Hunting & Fishing Stores,700781
Fishing Tackles Store,701259
Outdoor Recreational Equipment Stores,700782
Canoe & Kayak Rental Service,710783
Canoe & Kayak Store,710784
Snow Sports Stores,700785
Sporting Goods Stores,700786
Ski Shop,700787
soccer Store,700788
Thrift Stores,700789
Toy & Game Stores,700790
Trophies & Awards Shops,700791
Video Stores,700792
Warehouse Club Stores,700793
Sports & Recreation,700794
Archery & Shooting,700795
Shooting Ranges,700796
Boating Instruction,701260
Bowling,700797
Camps,700798
Equestrian,700799
Horse Boarding & Training,700800
Horse Stables Maintenance & Supplies,701261
Rodeos,700801
Fishing Charter,701093
Fitness Clubs,700802
Personal Trainer,701094
Pilates Studio,701262
Yoga,700803
Go Carts,700804
Golf,700805
Golf Courses,700806
Golf Driving Range,710807
Public Golf Course,701095
Golf Instruction,700808
Miniature Golf Courses,700809
Hot Air Balloons,700810
Martial Arts & Self-Defense,700811
Paintball,700812
Pool & Billiards,700813
Racing & Race Tracks,700814
Recreation Centers & Gymnasiums,700815
Gym,710816
Gymnastics Center,701263
Recreation Center,700817
Rock Climbing,700818
Skating Rinks,700819
Ice Skating Rink,710820
Roller Skating Rink,700821
Ski Resorts,700822
Stadiums & Playing Fields,700823
Swimming Pools,700824
Team Sports,700825
Baseball,700826
Batting Ranges,700827
Basketball,700828
Football,700829
Hockey,700830
Lacrosse,700831
Soccer,700832
Volleyball,700833
Tennis Store,701264
Travel,700834
Air Travel,700835
Airlines,700836
Airports,700837
Helicopter Charters,700838
Campgrounds,700839
Cruises,700840
Ferries,700841
Ground Transportation,700842
Airport Shuttles,700843
Buses & Charters,700844
Bus Line Company,701096
Car & Limousine Services,700845
Limousine Service,710846
Taxis,710847
Car Rentals,700848
Park & Rides,700849
Parking,700850
Airport Parking Lot,701097
Parking Lot Maintenance Service,701265
Public Transit,700851
Subways,700852
Taxi Services,700853
Trains,700854
Truck Rentals,701266
Hotels & Accommodations,700855
Bed & Breakfasts,700856
Hostels,700857
Hotels & Motels,700858
Extended Stay Hotel,701098
Hotel,710859
Luxury Hotel,701099
Motel,710860
Lodge,710863
Resorts,700861
Golf Resort,701100
Vacation Home Rentals,700862
RV Parks,700864
Tour Operators,701267
Tourist Information,700865
Travel Agencies,700866
Utilities,700867
Cable & Satellite Television Services,700868
Electric Companies,700869
Internet Services,700870
Natural Gas Companies,700871
Telephone Services,700872
Waste Management Services,700873
Landfills,700874
Water & Sewer Utilities,700875
Certified Public Accountant,710864
Environmental & Ecological Products & Service,710866
Film Making Equipment & Service,710865
Outdoor Lighting Store,710869
Legal Document Assistance,710871
Meditation Instructor,710872
Radio Repair Service,710868
Lawn Sprinkler Equipment & Supplies,710874
Window Blinds Store,710873
Boiler Repair & Service,710875
Eviction Service,710867
Executive Suite,710870
